title,genre_id,age_release,description,image_url
Goosebumps,"12,27,35",2015,"After moving to a small town, Zach Cooper finds a silver lining when he meets next door neighbor Hannah, the daughter of bestselling Goosebumps series author R.L. Stine. When Zach unintentionally unleashes real monsters from their manuscripts and they begin to terrorize the town, it’s suddenly up to Stine, Zach and Hannah to get all of them back in the books where they belong.",/aeZT9pqEgrmXOGdESFkAuVjX6kw.jpg
Porco Rosso,"10751,35,16,12",1992,"In Italy in the 1930s, sky pirates in biplanes terrorize wealthy cruise ships as they sail the Adriatic Sea. The only pilot brave enough to stop the scourge is the mysterious Porco Rosso, a former World War I flying ace who was somehow turned into a pig during the war. As he prepares to battle the pirate crew's American ace, Porco Rosso enlists the help of spunky girl mechanic Fio Piccolo and his longtime friend Madame Gina.",/8mIvSvnVBApfORL9N6S38Q7wD6A.jpg
Boomerang,"35,10749",1992,"Marcus is a successful advertising executive who woos and beds women almost at will. After a company merger he finds that his new boss, the ravishing Jacqueline, is treating him in exactly the same way. Completely traumatised by this, his work goes badly downhill.",/cc9YAZq5NXiIEJsHjW7p2FaHQkp.jpg
The Trapped 13: How We Survived The Thai Cave,99,2022,"In this compelling documentary, members of the Thai youth soccer team tell their stories of getting trapped in Tham Luang Cave in 2018 — and surviving.",/jQb1UjOdc2DsU4SqDebrVH8dHvC.jpg
The Red Shoes,"18,10749",1948,"In this classic drama, Vicky Page is an aspiring ballerina torn between her dedication to dance and her desire to love. While her imperious instructor, Boris Lermontov, urges to her to forget anything but ballet, Vicky begins to fall for the charming young composer Julian Craster. Eventually Vicky, under great emotional stress, must choose to pursue either her art or her romance, a decision that carries serious consequences.",/vPvpBWFWDvEXuQBkoYgA6A89GVp.jpg
"Lyle, Lyle, Crocodile","35,10751,10402",2022,"When the Primm family moves to New York City, their young son Josh struggles to adapt to his new school and new friends. All of that changes when he discovers Lyle — a singing crocodile who loves baths, caviar and great music — living in the attic of his new home. But when Lyle’s existence is threatened by evil neighbor Mr. Grumps, the Primms must band together to show the world that family can come from the most unexpected places.",/irIS5Tn3TXjNi1R9BpWvGAN4CZ1.jpg
Notorious,"53,10749,9648",1946,"In order to help bring Nazis to justice, U.S. government agent T.R. Devlin recruits Alicia Huberman, the American daughter of a convicted German war criminal, as a spy. As they begin to fall for one another, Alicia is instructed to win the affections of Alexander Sebastian, a Nazi hiding out in Brazil. When Sebastian becomes serious about his relationship with Alicia, the stakes get higher, and Devlin must watch her slip further undercover.",/yUjKnpColooH88BFQJwwgNOQ56N.jpg
First Reformed,18,2018,A pastor of a small church in upstate New York starts to spiral out of control after a soul-shaking encounter with an unstable environmental activist and his pregnant wife.,/p2UylV0hPefEuWPFMo1r56vu2nb.jpg
The Black Cauldron,"16,12,10751,14",1985,"Taran is an assistant pigkeeper with boyish dreams of becoming a great warrior. However, he has to put the daydreaming aside when his charge, an oracular pig named Hen Wen, is kidnapped by an evil lord known as the Horned King. The villain hopes Hen will show him the way to The Black Cauldron, which has the power to create a giant army of unstoppable soldiers.",/act8vtlXVEizdsUf9FcKbzSERew.jpg
The Faculty,"27,878,9648",1998,"When some very creepy things start happening around school, the kids at Herrington High make the chilling discovery that confirms their worst suspicions: their teachers really are from another planet!",/lZEFbxDC5zEBUk6a5i6HYgAHGjf.jpg
"Ilsa, the Tigress of Siberia","27,53,10752",1977,"Siberia 1953: Ilsa is now working in a Gulag prison camp. Her mission is to ""retrain the minds"" of those who don't agree with the communists.",/1c3qoPfDScgU3c62v9DZhzfnsfs.jpg
Lars and the Real Girl,"35,18,10749",2007,"Extremely shy Lars finds it impossible to make friends or socialize. His brother and sister-in-law worry about him, so when he announces that he has a girlfriend he met on the Internet, they are overjoyed. But Lars' new lady is a life-size plastic woman. On the advice of a doctor, his family and the rest of the community go along with his delusion.",/nkAt4a7KIPc7Fi1BhxNHhYYbe2b.jpg
The Wonderful Story of Henry Sugar,"14,12",2023,A rich man learns about a guru who can see without using his eyes. He sets out to master the skill in order to cheat at gambling.,/fDUywEHwHh6nsLnVXAdPN9m4ZUG.jpg
Batman: The Killing Joke,"28,16,80,18",2016,"As Batman hunts for the escaped Joker, the Clown Prince of Crime attacks the Gordon family to prove a diabolical point mirroring his own fall into madness.",/ibgiQ1a1q4UBEjOcqZzsRPhRK0g.jpg
Blade of the 47 Ronin,14,2022,"In this sequel to ""47 Ronin,"" a new class of warriors emerges among the Samurai clans to keep a sought-after sword from falling into the wrong hands.",/kjFDIlUCJkcpFxYKtE6OsGcAfQQ.jpg
Fear Street: 1978,"9648,27",2021,"In 1978, two rival groups at Camp Nightwing must band together to solve a terrifying mystery when horrors from their towns' history come alive.",/5dNTxhoGDTHHGqUTdxcr4H1dqlU.jpg
Friday the 13th Part III,"27,53",1982,"An idyllic summer turns into a nightmare of unspeakable terror for yet another group of naïve counselors. Ignoring Camp Crystal Lake's bloody legacy, one by one they fall victim to the maniacal Jason, who stalks them at every turn...",/mYkbmw6umfbvPYBwkcOJsKbTCQ1.jpg
El Camino: A Breaking Bad Movie,"80,18,53",2019,"In the wake of his dramatic escape from captivity, Jesse Pinkman must come to terms with his past in order to forge some kind of future.",/ePXuKdXZuJx8hHMNr2yM4jY2L7Z.jpg
The Lincoln Lawyer,"80,18,53",2011,A lawyer conducts business from the back of his Lincoln town car while representing a high-profile client in Beverly Hills.,/gOn8Ve9Yi8fxjRkmLr5BZoOc7KV.jpg
Dilwale Dulhania Le Jayenge,"35,18,10749",1995,"Raj is a rich, carefree, happy-go-lucky second generation NRI. Simran is the daughter of Chaudhary Baldev Singh, who in spite of being an NRI is very strict about adherence to Indian values. Simran has left for India to be married to her childhood fiancé. Raj leaves for India with a mission at his hands, to claim his lady love under the noses of her whole family. Thus begins a saga.",/lfRkUr7DYdHldAqi3PwdQGBRBPM.jpg
Night Train,"28,53,80",2023,"Mother Holly McCord is driven to extremes to save the life of her young son. Even if it means hauling black market drugs in her souped-up truck, with the Feds in hot pursuit. With two bounties on her head and her son’s life on the line, Holly climbs behind the wheel of “Night Train,” ready to outrun, out gun, and outlast them all.",/gRWWO0dqCRG6K8ZtRNVf8xrb1Ng.jpg
Moonstruck,"35,18,10749",1987,"37-year-old Italian-American widow Loretta Castorini believes she is unlucky in love, and so accepts a marriage proposal from her boyfriend Johnny, even though she doesn't love him. When she meets his estranged younger brother Ronny, an emotional and passionate man, she finds herself drawn to him. She tries to resist, but Ronny, who blames his brother for the loss of his hand, has no scruples about aggressively pursuing her while Johnny is out of the country. As Loretta falls for Ronny, she learns that she's not the only one in her family with a secret romance.",/2mnVWpvsHEHHnfvLn1NXYVvBGl5.jpg
The Girl with the Dragon Tattoo,"18,53,80,9648",2009,"Swedish thriller based on Stieg Larsson's novel about a male journalist and a young female hacker. In the opening of the movie, Mikael Blomkvist, a middle-aged publisher for the magazine Millennium, loses a libel case brought by corrupt Swedish industrialist Hans-Erik Wennerström. Nevertheless, he is hired by Henrik Vanger in order to solve a cold case, the disappearance of Vanger's niece",/r2pFUXKK20KD9RE3yybpQsNynRE.jpg
A Perfect Murder,"80,53,18",1998,"Millionaire industrialist Steven Taylor is a man who has everything but what he craves most: the love and fidelity of his wife. A hugely successful player in the New York financial world, he considers her to be his most treasured acquisition. But she needs more than simply the role of dazzling accessory.",/wC0ax12N9GQ8vMXPEs4nES5AAiB.jpg
Vampires,"28,14,27",1998,The church enlists a team of vampire-hunters to hunt down and destroy a group of vampires searching for an ancient relic that will allow them to exist in sunlight.,/iBkoNEyjXNlruGxuiBbUS4iReeq.jpg
The Watchers,"27,9648,53",2024,"When 28-year-old artist Mina finds shelter after getting stranded in an expansive, untouched forest in western Ireland, she unknowingly becomes trapped alongside three strangers that are watched and stalked by mysterious creatures each night.",/gmlOPXvV3je3IVmz07qKbUEpfPN.jpg
The Book of Life,"16,12,35,10751,14",2014,"The journey of Manolo, a young man who is torn between fulfilling the expectations of his family and following his heart. Before choosing which path to follow, he embarks on an incredible adventure that spans three fantastical worlds where he must face his greatest fears.",/aotTZos5KswgCryEzx2rlOjFsm1.jpg
The Legend of Drunken Master,"28,35",1994,"Returning home with his father after a shopping expedition, Wong Fei-Hong is unwittingly caught up in the battle between foreigners who wish to export ancient Chinese artifacts and loyalists who don't want the pieces to leave the country. Fei-Hong must fight against the foreigners using his Drunken Boxing style, and overcome his father's antagonism as well.",/xqUBrSBtPYLvCtfqHF5sapU6Div.jpg
Cujo,"27,53",1983,"A friendly St. Bernard named ""Cujo"" contracts rabies and conducts a reign of terror on a small American town.",/uNBt2YxrQdyOjnm2rDQ5QiCmQ0K.jpg
The Frighteners,"27,35",1996,"Once an architect, Frank Bannister now passes himself off as an exorcist of evil spirits. To bolster his facade, he claims his ""special"" gift is the result of a car accident that killed his wife. But what he does not count on is more people dying in the small town where he lives. As he tries to piece together the supernatural mystery of these killings, he falls in love with the wife of one of the victims and deals with a crazy FBI agent.",/2ZwWDOoU1yy9qyhLEatcgI94ESy.jpg
Detachment,18,2011,"A chronicle of three weeks in the lives of several high school teachers, administrators and students through the eyes of substitute teacher, Henry Barthes. Henry roams from school to school, imparting modes of knowledge, but never staying long enough to form any semblance of sentient attachment.",/lw1wlekuMMKxmYg7v01vB7Snkq6.jpg
The Artist,"18,35,10749",2011,"Hollywood, 1927: As silent movie star George Valentin wonders if the arrival of talking pictures will cause him to fade into oblivion, he sparks with Peppy Miller, a young dancer set for a big break.",/z68py0ZqPgeacGPG54AGVRbNBS7.jpg
Scooby-Doo! and the Loch Ness Monster,"10751,12,16,35,14,9648",2004,"While the gang travel to Scotland to visit Daphne's cousin and witness the annual Highland Games, they find themselves terrorized by the legendary Loch Ness Monster.",/hmeJnofknkSnczzN3J7Wvfn7OGI.jpg
Butcher's Crossing,"37,18",2023,"In the 1870s, a young Harvard dropout seeks his destiny out West by tying his fate to a team of buffalo hunters led by a man named Miller. Together, they embark on a harrowing journey risking life and sanity.",/2KdkRsYuzYPlJMLrV39gdjY3WkS.jpg
The Unbearable Weight of Massive Talent,"28,35,80",2022,"Creatively unfulfilled and facing financial ruin, Nick Cage must accept a $1 million offer to attend the birthday of a dangerous superfan. Things take a wildly unexpected turn when Cage is recruited by a CIA operative and forced to live up to his own legend, channeling his most iconic and beloved on-screen characters in order to save himself and his loved ones.",/aqhLeieyTpTUKPOfZ3jzo2La0Mq.jpg
The Italian Job,"28,80",2003,"Charlie Croker pulled off the crime of a lifetime. The one thing that he didn't plan on was being double-crossed. Along with a drop-dead gorgeous safecracker, Croker and his team take off to re-steal the loot and end up in a pulse-pounding, pedal-to-the-metal chase that careens up, down, above and below the streets of Los Angeles.",/eSkjK4kctyrWpFhxl35GPvSs6tI.jpg
Bombshell,18,2019,Bombshell is a revealing look inside the most powerful and controversial media empire of all time; and the explosive story of the women who brought down the infamous man who created it.,/gbPfvwBqbiHpQkYZQvVwB6MVauV.jpg
The Book of Solutions,"35,18",2023,"Marc, a bipolar and paranoid filmmaker, cannot tolerate seeing his current project picked apart by his producers. The clips he’s been able to sneak a look at lead him to fear the worst. With his editor as an accomplice, he manages to spirit away the rushes to his aunt’s place in the Cévennes, to finish the film as he envisions it. Instead, its completion is constantly postponed, as he creates endless diversions and impasses, which alternate between the comic and the downright disturbing.",/8EMqXbezN3GHUtoMeT1pAFUEszM.jpg
Freaks,"18,27",1932,"A circus' beautiful trapeze artist agrees to marry the leader of side-show performers, but his deformed friends discover she is only marrying him for his inheritance.",/fX2Wxd0W9E7eVClUd8kJTfennoV.jpg
Beau Pere,"18,10749",1981,"Rémi is a man trapped in a deteriorating marriage. When his wife is unexpectedly killed in a car accident, Rémi is left with his stepdaughter, Marion, who chooses to stay with him rather than live with her birth father. After the initial shock passes, Rémi is caught off-guard when Marion begins expressing her attraction to him. Initially repulsed, Marion's mature beauty wears him down as he finally caves to her seductions.",/hzGFiFY8wYeqxM8T4O4HFmXTqca.jpg
The Call of the Wild,"12,10751,18",2020,"Buck is a big-hearted dog whose blissful domestic life is turned upside down when he is suddenly uprooted from his California home and transplanted to the exotic wilds of the Yukon during the Gold Rush of the 1890s. As the newest rookie on a mail delivery dog sled team—and later its leader—Buck experiences the adventure of a lifetime, ultimately finding his true place in the world and becoming his own master.",/33VdppGbeNxICrFUtW2WpGHvfYc.jpg
Bird on a Wire,"28,12,35,10749",1990,"An FBI informant has kept his new identity secret for 15 years. Now an old flame has recognised him, and the bad guys are back for revenge.",/vhsv2PrAPZ79ZpV64AJ2TiEI2zX.jpg
Minions,"10751,16,12,35",2015,"Minions Stuart, Kevin and Bob are recruited by Scarlet Overkill, a super-villain who, alongside her inventor husband Herb, hatches a plot to take over the world.",/dr02BdCNAUPVU07aOodwPYv6HCf.jpg
A View to a Kill,"12,28,53",1985,A newly-developed microchip designed by Zorin Industries for the British Government that can survive the electromagnetic radiation caused by a nuclear explosion has landed in the hands of the KGB. James Bond must find out how and why. His suspicions soon lead him to big industry leader Max Zorin who forms a plan to destroy his only competition in Silicon Valley by triggering a massive earthquake in the San Francisco Bay.,/arJF829RP9cYvh0NU70dC5TtXSa.jpg
The Coffee Table,"27,18,53,35",2024,"Jesus and María are a couple going through a difficult time in their relationship. Nevertheless, they have just become parents. To shape their new life, they decide to buy a new coffee table. A decision that will change their existence.",/r8S7cc676EfgfUDVQKPrqRlbRFz.jpg
The Others,"27,9648,53",2001,"Grace is a religious woman who lives in an old house kept dark because her two children, Anne and Nicholas, have a rare sensitivity to light. When the family begins to suspect the house is haunted, Grace fights to protect her children at any cost in the face of strange events and disturbing visions.",/p8g1vlTvpM6nr2hMMiZ1fUlKF0D.jpg
The Prince,"53,28",2014,A family man who turns out to be a retired mob enforcer must travel across the country to find his daughter who has gone missing.,/22b2fmxhZveWSyWkgUz2y94fp3w.jpg
Little Nicky,"35,14",2000,"After the lord of darkness decides he will not cede his throne to any of his three sons, the two most powerful of them escape to Earth to create a kingdom for themselves. This action closes the portal filtering sinful souls to Hell and causes Satan to wither away. He must send his most weak but beloved son, Little Nicky, to Earth to return his brothers to Hell.",/AudA8gnTWSBWXBHSBHnr3HHUXXM.jpg
Ninja Scroll,"14,12,16,28",1993,"Jubei is a masterless ninja who travels the land alone, lending his services to those with gold—or a worthy cause. His fearsome abilities have served him well, but a plot to overthrow the government threatens to end his wandering ways—and possibly his life.",/qzZEnaXwv4wss2QalEo4Uf9BAwh.jpg
Flubber,"35,10751,878",1997,"Professor Phillip Brainard, an absent minded professor, works with his assistant Weebo, trying to create a substance that's a new source of energy and that will save Medfield College where his sweetheart Sara is the president. He has missed his wedding twice, and on the afternoon of his third wedding, Professor Brainard creates flubber, which allows objects to fly through the air.",/bnKvk04icAyCO1KjqhsaEXBO9aJ.jpg
Sister Act 2: Back in the Habit,"10402,35",1993,"Deloris Van Cartier is again asked to don the nun's habit to help a run-down Catholic school, presided over by Mother Superior. And if trying to reach out to a class full of uninterested students wasn't bad enough, the sisters discover that the school is due to be closed by the unscrupulous chief of a local authority.",/dlkBp5S6Ei5f54031rAhyb4IwML.jpg
The Big Sick,"35,18,10749",2017,"Pakistan-born comedian Kumail Nanjiani and grad student Emily Gardner fall in love but struggle as their cultures clash. When Emily contracts a mysterious illness, Kumail finds himself forced to face her feisty parents, his family's expectations, and his true feelings.",/qquEFkFbQX1i8Bal260EgGCnZ0f.jpg
Missing,"53,9648,18",2023,"When her mother disappears while on vacation in Colombia with her new boyfriend, June’s search for answers is hindered by international red tape. Stuck thousands of miles away in Los Angeles, June creatively uses all the latest technology at her fingertips to try and find her before it’s too late. But as she digs deeper, her digital sleuthing raises more questions than answers... and when June unravels secrets about her mom, she discovers that she never really knew her at all.",/wEOUYSU5Uf8J7152PT6jdb5233Y.jpg
Surf's Up,"16,35,10751",2007,"A young surfer enters his first contest, hoping a win will earn him respect. But an encounter with a laid-back local forces him to rethink his values.",/tTDsCVlDA8QR4Dc6t6nERfwl5z.jpg
Innerspace,"28,35,878",1987,"Test pilot Tuck Pendleton volunteers to test a special vessel for a miniaturization experiment. Accidentally injected into a neurotic hypochondriac, Jack Putter, Tuck must convince Jack to find his ex-girlfriend, Lydia Maxwell, to help him extract Tuck and his ship and re-enlarge them before his oxygen runs out.",/A4azclZQjqeQxXvcok3rdUmuq8a.jpg
Runaway Bride,"35,10749",1999,"Having already left three grooms at the altar, Maggie Carpenter is branded ""the runaway bride"" by jaded New York journalist Ike Graham. But, after his facts are called into question, Ike races to Maggie's hometown to save his reputation and report on her upcoming fourth trip down the aisle – during which he's convinced she'll run again. Though he's there on a muckraking mission, Ike can't help but fall for this breathtaking heartbreaker.",/aq0wzlWTEaUHlehS14cS5kejRIY.jpg
God Is a Bullet,"53,28,80",2023,"Vice detective Bob Hightower finds his ex-wife murdered and daughter kidnapped by a cult. Frustrated by the botched official investigations, he quits the force and infiltrates the cult to hunt down the leader with the help of the cult’s only female victim escapee, Case Hardin.",/5kiLS9nsSJxDdlYUyYGiSUt8Fi8.jpg
Unstoppable,"28,53",2010,"A runaway train, transporting deadly, toxic chemicals, is barreling down on Stanton, Pennsylvania,  and proves to be unstoppable until a veteran engineer and young conductor risk their lives to try and stop it with a switch engine.",/zKvHwL0GqLOear8rTnUPSTRYY0r.jpg
The Cat in the Hat,"35,12,10751,14",2003,"During a rainy day, and while their mother is out, Conrad and Sally, and their pet fish, are visited by the mischievous Cat in the Hat. Fun soon turns to mayhem, and the siblings must figure out how to rid themselves of the maniacal Cat.",/6oHWHSRXv6ju5uBgBIQZOf7SECd.jpg
Hitman's Wife's Bodyguard,"28,35,80,53",2021,"The world’s most lethal odd couple – bodyguard Michael Bryce and hitman Darius Kincaid – are back on another life-threatening mission. Still unlicensed and under scrutiny, Bryce is forced into action by Darius's even more volatile wife, the infamous international con artist Sonia Kincaid. As Bryce is driven over the edge by his two most dangerous protectees, the trio get in over their heads in a global plot and soon find that they are all that stand between Europe and a vengeful and powerful madman.",/6zwGWDpY8Zu0L6W4SYWERBR8Msw.jpg
"Legally Blonde 2: Red, White & Blonde","35,10749",2003,"Now a rising young lawyer, Elle Woods is about to make partner at her firm, but when she finds out her dog's relatives are being used as cosmetic test subjects, she heads to Washington D.C. to fight for animal rights.",/4kC0UGTuJgFnlZq2ZM6OiY7nuY8.jpg
Lethal Weapon,"12,28,35,53,80",1987,"Veteran buttoned-down LAPD detective Roger Murtaugh is partnered with unhinged cop Martin Riggs, who -- distraught after his wife's death -- has a death wish and takes unnecessary risks with criminals at every turn. The odd couple embark on their first homicide investigation as partners, involving a young woman known to Murtaugh with ties to a drug and prostitution ring.",/fTq4ThIP3pQTYR9eDepsbDHqdcs.jpg
The Karate Kid Part II,"12,18,28,10749,10751",1986,"After discovering that his father is at death's door, Mr. Miyagi sets out to Japan, to see him with Daniel. Upon arriving, Miyagi must confront an old rival. Meanwhile, Daniel encounters a new love, and some new enemies.",/k0OwgRR6PNu7h3SiqpCbRdZWNaG.jpg
Diabolik,"80,28,9648,53",2021,"1960s, the city of Clerville. The forthcoming visit of heiress Eva Kant, who'll be bringing a famous pink diamond with her, catches the attention of Diabolik, the infallible and elusive thief whose real identity is unknown: while trying to steal the jewel, he finds himself bewitched by Eva's charm, a feeling she may be reciprocating. But the police, led by relentless Inspector Ginko, is rapidly closing in on him...",/9bOwV2V9r6LikmKHMDgmu9jcE92.jpg
Beautiful Teacher in Torture Hell,"18,53,27",1985,A female teacher who is skilled in kendo is assigned to a rural high school in a beautiful remote valley. But she is soon trapped in a wide conspiracy of lust and perversion by those around her.,/lphE85vShoj6TeRuoSvuFhcqYdr.jpg
Dallas Buyers Club,"18,36",2013,"Loosely based on the true-life tale of Ron Woodroof, a drug-taking, women-loving, homophobic man who in 1986 was diagnosed with HIV/AIDS and given thirty days to live.",/7Fdh7gUq3plvQqxRbNYhWvDABXA.jpg
Doctor Zhivago,"18,10749,10752",1965,"The life of a Russian physician and poet who, although married to another, falls in love with a political activist's wife and experiences hardship during World War I and then the October Revolution.",/r0Iv2BiCFYDnzc6uU1q3AJ56igT.jpg
Halloween,27,2007,"After being committed for 15 years, Michael Myers, now a grown man and still very dangerous, escapes from the mental institution (where he was committed as a 10 year old) and he immediately returns to Haddonfield, where he wants to find his baby sister, Laurie. Anyone who crosses his path is in mortal danger.",/cD8JrfSEI4j7WVnKM1GdiYzMoUh.jpg
The Lego Ninjago Movie,"10751,16,28,12,35",2017,"Six young ninjas are tasked with defending their island home of Ninjago. By night, they’re gifted warriors using their skill and awesome fleet of vehicles to fight villains and monsters. By day, they’re ordinary teens struggling against their greatest enemy....high school.",/vUo0pNXGhp2ffTJxiStWt6fHL7F.jpg
Still Alice,18,2014,"Alice Howland, happily married with three grown children, is a renowned linguistics professor who starts to forget words. When she receives a devastating diagnosis, Alice and her family find their bonds tested.",/MeJJCT1o87j7D0mR3yQs4s4PIA.jpg
Jonah Hex,"28,37,18,14,53",2010,"Gunslinger Jonah Hex is appointed by President Ulysses Grant to track down terrorist Quentin Turnbull, a former Confederate officer determined on unleashing hell on earth. Jonah not only secures freedom by accepting this task, he also gets revenge on the man who slayed his wife and child.",/b1BLIXEe9zzaFvuWdYGoeuhuh75.jpg
Blue Streak,"28,35,80",1999,"Miles Logan is a jewel thief who just hit the big time by stealing a huge diamond. However, after two years in jail, he comes to find out that he hid the diamond in a police building that was being built at the time of the robbery. In an attempt to regain his diamond, he poses as an LAPD detective.",/jek2osBtFhzU6Hjj7yp1egOtbqO.jpg
The Vow,"18,10749",2012,"Happy young married couple Paige and Leo are, well, happy. Then a car accident puts Paige into a life-threatening coma. Upon awakening she has lost the previous five years of memories, including those of her beloved Leo, her wedding, a confusing relationship with her parents, or the ending of her relationship with her ex-fiance. Despite these complications, Leo endeavors to win her heart again and rebuild their marriage.",/qHNjcjKa6VHJsa0Eu0DHl2BaYw3.jpg
Entrapment,"10749,18,9648",1999,"Two thieves, who travel in elegant circles, try to outsmart each other and, in the process, end up falling in love.",/onEHQY4M22CluNfocJRGsVg0dK6.jpg
Desperado,"53,28,80",1995,"Mariachi plunges headfirst into the dark border underworld when he follows a trail of blood to the last of the infamous Mexican drug lords, Bucho, for an action-packed, bullet-riddled showdown. With the help of his best friend and a beautiful bookstore owner, the Mariachi tracks Bucho, takes on his army of desperados, and leaves a trail of blood of his own.",/e3gwpBeXpvGZsxUya9zNym5QXrw.jpg
Dangerous Lesson,18,2020,"Kang-seo, a prestigious college student who lived as a tutor and a convenience store part-timer received a tutoring request one day. Kang-seo, who was tutoring the gangster's daughter, goes to bed with the gangster's newly remarried wife, and is soon threatened by the gangster.",/uU58hfOpByKiYlXHdH5I9IeMD6R.jpg
The Voyeur,"18,10749",1994,"At a college in Rome, a professor, nicknamed ""Dodo"" is in a deep depression. His stunningly beautiful wife has just left him for another man. Dodo wants her back very badly and has erotic daydreams about her. A beautiful young student in his class asks him for a ride home and seduces the lucky man, but still he wonders about his wife and her lover.",/831BBTawd6E6WJ3Zu0KKwmbpDp2.jpg
Zack and Miri Make a Porno,"35,10749",2008,"Lifelong platonic friends Zack and Miri look to solve their respective cash-flow problems by making an adult film together. As the cameras roll, however, the duo begin to sense that they may have more feelings for each other than they previously thought.",/40qxr2p2s297Q1mWFJOsRatQPK0.jpg
Ghost Ship,"27,9648,53",2002,"After discovering a passenger ship missing since 1962 floating adrift on the Bering Sea, salvagers claim the vessel as their own. Once they begin towing the ghost ship towards harbor, a series of bizarre occurrences happen and the group becomes trapped inside the ship, which they soon learn is inhabited by a demonic creature.",/qT9jhRnf67dmMNpX2FmNPMeuW57.jpg
Resident Evil: Degeneration,"16,27,28,878",2008,"Leon S. Kennedy and Claire Redfield must battle a rogue warrior seeking revenge after unleashing the deadly G-Virus, whilst a mutated monster goes on a rampage.",/3wSIagfHnR9vRAPyNjCfGzfgbXK.jpg
The Rookie,"18,10751",2002,"Jim Morris never made it out of the minor leagues before a shoulder injury ended his pitching career twelve years ago. Now a married-with-children high-school chemistry teacher and baseball coach in Texas, Jim's team makes a deal with him: if they win the district championship, Jim will try out with a major-league organization. The bet proves incentive enough for the team, and they go from worst to first, making it to state for the first time in the history of the school. Jim, forced to live up to his end of the deal, is nearly laughed off the try-out field--until he gets onto the mound, where he confounds the scouts (and himself) by clocking successive 98 mph fastballs, good enough for a minor-league contract with the Tampa Bay Devil Rays. Jim's still got a lot of pitches to throw before he makes it to The Show, but with his big-league dreams revived, there's no telling where he could go.",/sQ2TLmcYxuWNWn5QDNUc2UDQBW1.jpg
Tante Siska Part 3,"18,10749",2023,,/xkMtWd71MLju7qQH8J6sdpf48Al.jpg
Big Stan,"35,80",2007,A weak con man panics when he learns he's going to prison for fraud. He hires a mysterious martial arts guru who helps transform him into a martial arts expert who can fight off inmates who want to hurt or love him.,/zS1uUwKEFcd8ak0NTXxw97DlbAa.jpg
Sherlock: The Abominable Bride,"80,18,9648,10770",2016,Sherlock Holmes and Dr. Watson find themselves in 1890s London in this holiday special.,/hibE8cyZs2Bm0o4WaWd1pppvjO2.jpg
Tales from the Darkside: The Movie,"53,35,14,27",1990,A young boy tells three stories of horror to distract a witch who plans to eat him.,/5q8WK4gW45Knxhpb29IVOCbbfI7.jpg
The Goldfinch,18,2019,"A boy in New York is taken in by a wealthy family after his mother is killed in a bombing at the Metropolitan Museum of Art. In a rush of panic, he steals 'The Goldfinch', a painting that eventually draws him into a world of crime.",/5Jx9VyVPiK9GQ7ouKLkTUYnZSQ4.jpg
Bad Moms,35,2016,"When three overworked and under-appreciated moms are pushed beyond their limits, they ditch their conventional responsibilities for a jolt of long overdue freedom, fun, and comedic self-indulgence.",/9PaIkUnfOcU1wi5cFbamnmAkjEs.jpg
Swingers,35,1996,"After 6 years together, Mike's girlfriend leaves him, so he travels to LA to be a star. Six months on, he's still not doing very well— so a few of his friends try to reconnect him to the social scene and hopefully help him forget his failed relationship.",/rRjWk68kU3a2so4lgr3TKB7Y5vA.jpg
The Second Wife,"35,10749",1998,"In the early 1960's, a Sicilian single mother marries an older, crass widowed truck driver. When he is arrested trying to smuggle an antique, she ends up falling in love with her handsome stepson.",/a2BGHPsGHgKBTq6HyAfA2jphXsh.jpg
Three Thousand Years of Longing,"18,14,10749",2022,"A solitary scholar discovers an ancient bottle while on a trip to Istanbul and unleashes a djinn who offers her three wishes. Filled with reluctance, she is unable to come up with one, so the djinn tries to inspire her with his stories.",/wdiUSKO0kebySOrHBVoDp7CLHIO.jpg
Back to the Future Part III,"12,35,878",1990,"The final installment of the Back to the Future trilogy finds Marty digging the trusty DeLorean out of a mineshaft and looking for Doc in the Wild West of 1885. But when their time machine breaks down, the travelers are stranded in a land of spurs. More problems arise when Doc falls for pretty schoolteacher Clara Clayton, and Marty tangles with Buford Tannen.",/crzoVQnMzIrRfHtQw0tLBirNfVg.jpg
Judas and the Black Messiah,"18,36",2021,Bill O'Neal infiltrates the Black Panthers on the orders of FBI Agent Mitchell and J. Edgar Hoover. As Black Panther Chairman Fred Hampton ascends—falling for a fellow revolutionary en route—a battle wages for O’Neal’s soul.,/iIgr75GoqFxe1X5Wz9siOODGe9u.jpg
Dracula Untold,"27,28,14",2014,"Vlad Tepes is a great hero, but when he learns the Sultan is preparing for battle and needs to form an army of 1,000 boys, he vows to find a way to protect his family. Vlad turns to dark forces in order to get the power to destroy his enemies and agrees to go from hero to monster as he's turned into the mythological vampire, Dracula.",/xJJFZ7tYASyQ7rNOLTrb2JpDc7A.jpg
Alive,"12,18,36",1993,"The amazing true story of a Uruguayan rugby team's plane that crashed in the middle of the Andes mountains, and their immense will to survive and pull through alive, forced to do anything and everything they could to stay alive on meager rations and through the freezing cold.",/uQACcCZqd7WCTRin9xRIW5gr1bd.jpg
